交易所,合约,合约名称,品种,合约乘数,开仓费率,开仓费/手,平仓费率,平仓费/手,平今仓费率,平今仓费/手,最新价,成交量,空盘量,1手开仓手续费,1手平仓手续费,1手平今仓手续费,做多保证金率,做多保证金/手,做空保证金率,做空保证金/手,做多1手保证金,做空1手保证金,最小跳动价位,1Tick盈亏
CZCE,FG310,玻璃10月,FG,20,0.000000,3.0,0.000000,3.0,0.000000,3.0,1874.0,2470,7956.0,3.0,3.0,3.0,0.16999999999999998,0.0,0.16999999999999998,0.0,6371.599999999999,6371.599999999999,1.0,20.0
DCE,jm2310,焦煤2310,jm,60,0.000060,0.0,0.000060,0.0,0.000060,0.0,1772.5,149,1568.0,6.381000000000001,6.381000000000001,6.381000000000001,0.26,0.0,0.26,0.0,27651.0,27651.0,0.5,30.0
SHFE,ru2310,ru2310,ru,10,0.000000,3.0,0.000000,3.0,0.000000,0.0,12755.000000000002,359,1170.0,3.0,3.0,0.0,0.16999999999999998,0.0,0.16999999999999998,0.0,21683.5,21683.5,5.0,50.0
SHFE,ss2310,ss2310,ss,5,0.000000,2.0,0.000000,2.0,0.000000,0.0,15170.000000000002,7473,10172.0,2.0,2.0,0.0,0.2,0.0,0.2,0.0,15170.000000000004,15170.000000000004,5.0,25.0
DCE,bb2310,胶合板2310,bb,500,0.000100,0.0,0.000100,0.0,0.000050,0.0,400.0,0,0.0,20.0,20.0,10.0,0.45,0.0,0.45,0.0,90000.0,90000.0,0.05,25.0
CZCE,PF310,短纤10月,PF,5,0.000000,3.0,0.000000,3.0,0.000000,3.0,7760.0,4288,10460.0,3.0,3.0,3.0,0.15,0.0,0.15,0.0,5820.0,5820.0,2.0,10.0
INE,bc2310,bc2310,bc,5,0.000010,0.0,0.000010,0.0,0.000000,0.0,60950.00000000001,37,573.0,3.0475000000000008,3.0475000000000008,0.0,0.16,0.0,0.16,0.0,48760.00000000001,48760.00000000001,10.0,50.0
SHFE,cu2310,cu2310,cu,5,0.000050,0.0,0.000050,0.0,0.000000,0.0,68580.0,57026,119575.0,17.145,17.145,0.0,0.16,0.0,0.16,0.0,54864.0,54864.0,10.0,50.0
SHFE,hc2310,hc2310,hc,10,0.000100,0.0,0.000100,0.0,0.000100,0.0,3896.0000000000005,55053,126548.0,3.896000000000001,3.896000000000001,3.896000000000001,0.16,0.0,0.16,0.0,6233.600000000001,6233.600000000001,1.0,10.0
INE,sc2509,sc2509,sc,1000,0.000000,20.0,0.000000,20.0,0.000000,0.0,586.4,0,14.0,20.0,20.0,0.0,0.16999999999999998,0.0,0.16999999999999998,0.0,99687.99999999999,99687.99999999999,0.1,100.0
DCE,bb2311,胶合板2311,bb,500,0.000100,0.0,0.000100,0.0,0.000050,0.0,400.0,0,0.0,20.0,20.0,10.0,0.45,0.0,0.45,0.0,90000.0,90000.0,0.05,25.0
DCE,c2311,玉米2311,c,10,0.000000,0.2,0.000000,0.2,0.000000,0.0,2650.0,258626,418170.0,0.2,0.2,0.0,0.15,0.0,0.15,0.0,3975.0,3975.0,1.0,10.0
DCE,cs2311,玉米淀粉2311,cs,10,0.000000,1.5,0.000000,1.5,0.000000,0.75,2951.0,131691,180665.0,1.5,1.5,0.75,0.13,0.0,0.13,0.0,3836.3,3836.3,1.0,10.0
DCE,fb2311,纤维板2311,fb,10,0.000100,0.0,0.000100,0.0,0.000050,0.0,1329.0,0,3.0,1.329,1.329,0.6645,0.25,0.0,0.25,0.0,3322.5,3322.5,0.5,5.0
DCE,i2311,铁矿石2311,i,100,0.000100,0.0,0.000100,0.0,0.000100,0.0,913.5,32859,112372.0,9.135,9.135,9.135,0.19,0.0,0.19,0.0,17356.5,17356.5,0.5,50.0
DCE,j2311,焦炭2311,j,100,0.000060,0.0,0.000060,0.0,0.000060,0.0,2456.5,79,284.0,14.739000000000003,14.739000000000003,14.739000000000003,0.26,0.0,0.26,0.0,63869.0,63869.0,0.5,50.0
DCE,jm2311,焦煤2311,jm,60,0.000060,0.0,0.000060,0.0,0.000060,0.0,1828.5,2175,2801.0,6.582600000000001,6.582600000000001,6.582600000000001,0.26,0.0,0.26,0.0,28524.600000000002,28524.600000000002,0.5,30.0
DCE,l2311,聚乙烯2311,l,5,0.000000,2.0,0.000000,2.0,0.000000,1.0,8315.0,32476,81211.0,2.0,2.0,1.0,0.18,0.0,0.18,0.0,7483.5,7483.5,1.0,5.0
DCE,m2311,豆粕2311,m,10,0.000000,0.2,0.000000,0.2,0.000000,0.1,4338.0,135126,285595.0,0.2,0.2,0.1,0.13999999999999999,0.0,0.13999999999999999,0.0,6073.2,6073.2,1.0,10.0
